# nonCO2 emissions by sector,,,,,,,,,,
sector,ghg,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
comm heating,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Residential and Commercial,,,,,,1
comm others,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Residential and Commercial,,,,,,1
district heat,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Supply,,,,,,1
electricity,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Supply,,,,,,1
industrial energy use,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Industry,,,,,,1
N fertilizer,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Industry,,,,,,1
process heat cement,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Industry,,,,,,1
resid cooling,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Residential and Commercial,,,,,,1
resid heating,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Residential and Commercial,,,,,,1
resid others,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Residential and Commercial,,,,,,1
trn_aviation_intl,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Transportation,,,,,,1
trn_freight,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Transportation,,,,,,1
trn_freight_road,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Transportation,,,,,,1
trn_pass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Transportation,,,,,,1
trn_pass_road,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV_4W,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Transportation,,,,,,1
trn_shipping_intl,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Transportation,,,,,,1
UnmanagedLand,BC,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
urban processes,BC,Emissions|BC,,,,,,,,1
agricultural energy use,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Industry,,,,,,1
alumina,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Industry,,,,,,1
chemical energy use,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Industry,,,,,,1
construction energy use,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Industry,,,,,,1
iron and steel,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Industry,,,,,,1
mining energy use,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Industry,,,,,,1
other industrial energy use,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand|Industry,,,,,,1
Corn,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
FiberCrop,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
MiscCrop,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
OilCrop,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
OtherGrain,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
PalmFruit,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
Rice,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
RootTuber,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
SugarCrop,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
Wheat,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
Fruits,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
Legumes,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
NutsSeeds,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
Soybean,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
Vegetables,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
OilPalm,BC_AWB,Emissions|BC,Emissions|BC|AFOLU,,,,,,,1
industrial processes,C2F6,Emissions|C2F6,Emissions|PFC,,,,,,,1
industrial processes,CF4,Emissions|CF4,Emissions|PFC,,,,,,,1
agricultural energy use,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Industry,,,,,,1
alumina,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Industry,,,,,,1
chemical energy use,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Industry,,,,,,1
comm cooling,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Residential and Commercial,,,,,,1
comm heating,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Residential and Commercial,,,,,,1
comm others,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Residential and Commercial,,,,,,1
construction energy use,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Industry,,,,,,1
