# GWP conversions - uses 100-yr GWPs from AR6 in GCAM unit
GHG_gases,sector,GWP
CH4,,29.8
N2O,,273
CH4,AGR,27
N2O,AGR,273
C2F6,,12.4
CF4,,7.38
HFC125,,3.74
HFC134a,,1.53
HFC245fa,,0.962
SF6,,24.3
HFC143a,,5.81
HFC152a,,0.164
HFC227ea,,3.6
HFC23,,14.6
HFC236fa,,8.69
HFC32,,0.771
HFC365mfc,,0.914
HFC43,,1.6
CO2,,3.666666667
CO2LUC,,3.666666667
