"emiss											",,,,,,,,,,,
sector,technology,var1,var2,var3,var4,var5,var6,var7,var8,var9,unit_conv
elec_coal (conv pul CCS),coal (conv pul CCS) (seawater),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_gas (CC CCS),gas (CC CCS) (dry cooling),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_gas (CC CCS),gas (CC CCS) (once through),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_gas (CC CCS),gas (CC CCS) (recirculating),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
elec_gas (CC CCS),gas (CC CCS) (seawater),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
electricity,biomass (conv CCS),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,,,,,3.666667
electricity,biomass (IGCC CCS),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Supply,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,,,,,3.666667
electricity,coal (conv pul CCS),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
electricity,coal (IGCC CCS),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
electricity,gas (CC CCS),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
electricity,refined liquids (CC CCS),Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Liquids|Energy,Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,,,,,3.666667
