# Demand for Final Fuels
sector,input,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,unit_conv
aluminum,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Industry,Final Energy|Industry|Electricity,,Final Energy|Industry|Non-ferrous metals,Final Energy|Industry|Non-ferrous metals|Electricity,,Final Energy|Industry|Non-Ferrous Metals|Aluminum,Final Energy|Industry|Non-Ferrous Metals|Aluminum|Electricity,,Final Energy (w/o bunkers),1
cement,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Industry,Final Energy|Industry|Electricity,,Final Energy|Industry|Non-Metallic Minerals,Final Energy|Industry|Non-Metallic Minerals|Cement,Final Energy|Industry|Non-Metallic Minerals|Cement|Electricity,,,,Final Energy (w/o bunkers),1
chemical energy use,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Solids,Final Energy|Industry|Chemicals|Solids|Biomass,Final Energy|Industry|Chemicals|Other Sector,Final Energy|Industry|Chemicals|Other Sector|Solids,Final Energy|Industry|Chemicals|Other Sector|Solids|Biomass,Final Energy (w/o bunkers),1
chemical energy use,delivered biomass industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Solids,Final Energy|Industry|Chemicals|Solids|Biomass,Final Energy|Industry|Chemicals|Other Sector,Final Energy|Industry|Chemicals|Other Sector|Solids,Final Energy|Industry|Chemicals|Other Sector|Solids|Biomass,Final Energy (w/o bunkers),1
chemical energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Solids,Final Energy|Industry|Chemicals|Solids|Coal,Final Energy|Industry|Chemicals|Other Sector,Final Energy|Industry|Chemicals|Other Sector|Solids,Final Energy|Industry|Chemicals|Other Sector|Solids|Coal,Final Energy (w/o bunkers),1
chemical energy use,delivered industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Solids,Final Energy|Industry|Chemicals|Solids|Coal,Final Energy|Industry|Chemicals|Other Sector,Final Energy|Industry|Chemicals|Other Sector|Solids,Final Energy|Industry|Chemicals|Other Sector|Solids|Coal,Final Energy (w/o bunkers),1
chemical energy use,delivered coal industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Solids,Final Energy|Industry|Chemicals|Solids|Coal,Final Energy|Industry|Chemicals|Other Sector,Final Energy|Industry|Chemicals|Other Sector|Solids,Final Energy|Industry|Chemicals|Other Sector|Solids|Coal,Final Energy (w/o bunkers),1
chemical energy use,district heat,Final Energy,Final Energy|Heat,,Final Energy|Industry,Final Energy|Industry|Heat,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Heat,,Final Energy|Industry|Chemicals|Other Sector,Final Energy|Industry|Chemicals|Other Sector|Heat,,Final Energy (w/o bunkers),1
chemical energy use,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Industry,Final Energy|Industry|Electricity,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Electricity,,Final Energy|Industry|Chemicals|Other Sector,Final Energy|Industry|Chemicals|Other Sector|Electricity,,Final Energy (w/o bunkers),1
chemical energy use,gas,Final Energy,Final Energy|Gases,,Final Energy|Industry,Final Energy|Industry|Gases,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Gases,,Final Energy|Industry|Chemicals|Other Sector,Final Energy|Industry|Chemicals|Other Sector|Gases,,Final Energy (w/o bunkers),1
chemical energy use,H2 industrial,Final Energy,Final Energy|Hydrogen,,Final Energy|Industry,Final Energy|Industry|Hydrogen,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Hydrogen,,Final Energy|Industry|Chemicals|Other Sector,Final Energy|Industry|Chemicals|Other Sector|Hydrogen,,Final Energy (w/o bunkers),1
chemical energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,Final Energy|Industry,Final Energy|Industry|Hydrogen,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Hydrogen,,Final Energy|Industry|Chemicals|Other Sector,Final Energy|Industry|Chemicals|Other Sector|Hydrogen,,Final Energy (w/o bunkers),1
chemical energy use,refined liquids,Final Energy,Final Energy|Liquids,,Final Energy|Industry,Final Energy|Industry|Liquids,,Final Energy|Industry|Chemicals,Final Energy|Industry|Chemicals|Liquids,,Final Energy|Industry|Chemicals|Other Sector,Final Energy|Industry|Chemicals|Other Sector|Liquids,,Final Energy (w/o bunkers),1
chemical feedstocks,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Solids,Final Energy|Non-Energy Use|Solids|Coal,Final Energy|Non-Energy Use|Chemicals,Final Energy|Non-Energy Use|Chemicals|Solids,Final Energy|Non-Energy Use|Chemicals|Solids|Coal,,,,Final Energy (w/o bunkers),1
chemical feedstocks,delivered feedstocks,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Solids,Final Energy|Non-Energy Use|Solids|Coal,Final Energy|Non-Energy Use|Chemicals,Final Energy|Non-Energy Use|Chemicals|Solids,Final Energy|Non-Energy Use|Chemicals|Solids|Coal,,,,Final Energy (w/o bunkers),1
chemical feedstocks,delivered coal feedstocks,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Solids,Final Energy|Non-Energy Use|Solids|Coal,Final Energy|Non-Energy Use|Chemicals,Final Energy|Non-Energy Use|Chemicals|Solids,Final Energy|Non-Energy Use|Chemicals|Solids|Coal,,,,Final Energy (w/o bunkers),1
chemical feedstocks,gas,Final Energy,Final Energy|Gases,,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Gases,,Final Energy|Non-Energy Use|Chemicals,Final Energy|Non-Energy Use|Chemicals|Gases,,,,,Final Energy (w/o bunkers),1
chemical feedstocks,wholesale gas feedstocks,Final Energy,Final Energy|Gases,,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Gases,,Final Energy|Non-Energy Use|Chemicals,Final Energy|Non-Energy Use|Chemicals|Gases,,,,,Final Energy (w/o bunkers),1
chemical feedstocks,refined liquids,Final Energy,Final Energy|Liquids,,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Liquids,,Final Energy|Non-Energy Use|Chemicals,Final Energy|Non-Energy Use|Chemicals|Liquids,,,,,Final Energy (w/o bunkers),1
