"region","PrimaryFuelCO2Coef.name","PrimaryFuelCO2Coef"
"Russia","regional biomassOil",19.6
"South Africa","regional biomassOil",19.6
"South America_Northern","regional biomassOil",19.6
"South America_Southern","regional biomassOil",19.6
"South Asia","regional biomassOil",19.6
"South Korea","regional biomassOil",19.6
"Southeast Asia","regional biomassOil",19.6
"Taiwan","regional biomassOil",19.6
"Argentina","regional biomassOil",19.6
"Colombia","regional biomassOil",19.6
"USA","regional sugar for ethanol",19.6
"Africa_Eastern","regional sugar for ethanol",19.6
"Africa_Northern","regional sugar for ethanol",19.6
"Africa_Southern","regional sugar for ethanol",19.6
"Africa_Western","regional sugar for ethanol",19.6
"Australia_NZ","regional sugar for ethanol",19.6
"Brazil","regional sugar for ethanol",19.6
"Canada","regional sugar for ethanol",19.6
"Central America and Caribbean","regional sugar for ethanol",19.6
"Central Asia","regional sugar for ethanol",19.6
"China","regional sugar for ethanol",19.6
"EU-12","regional sugar for ethanol",19.6
"EU-15","regional sugar for ethanol",19.6
"Europe_Eastern","regional sugar for ethanol",19.6
"Europe_Non_EU","regional sugar for ethanol",19.6
"European Free Trade Association","regional sugar for ethanol",19.6
"India","regional sugar for ethanol",19.6
"Indonesia","regional sugar for ethanol",19.6
"Japan","regional sugar for ethanol",19.6
"Mexico","regional sugar for ethanol",19.6
"Middle East","regional sugar for ethanol",19.6
"Pakistan","regional sugar for ethanol",19.6
"Russia","regional sugar for ethanol",19.6
"South Africa","regional sugar for ethanol",19.6
"South America_Northern","regional sugar for ethanol",19.6
"South America_Southern","regional sugar for ethanol",19.6
"South Asia","regional sugar for ethanol",19.6
"South Korea","regional sugar for ethanol",19.6
"Southeast Asia","regional sugar for ethanol",19.6
"Taiwan","regional sugar for ethanol",19.6
"Argentina","regional sugar for ethanol",19.6
"Colombia","regional sugar for ethanol",19.6
"USA","regional corn for ethanol",19.6
"Africa_Eastern","regional corn for ethanol",19.6
"Africa_Northern","regional corn for ethanol",19.6
"Africa_Southern","regional corn for ethanol",19.6
"Africa_Western","regional corn for ethanol",19.6
"Australia_NZ","regional corn for ethanol",19.6
"Brazil","regional corn for ethanol",19.6
"Canada","regional corn for ethanol",19.6
"Central America and Caribbean","regional corn for ethanol",19.6
"Central Asia","regional corn for ethanol",19.6
"China","regional corn for ethanol",19.6
"EU-12","regional corn for ethanol",19.6
"EU-15","regional corn for ethanol",19.6
"Europe_Eastern","regional corn for ethanol",19.6
"Europe_Non_EU","regional corn for ethanol",19.6
"European Free Trade Association","regional corn for ethanol",19.6
"India","regional corn for ethanol",19.6
"Indonesia","regional corn for ethanol",19.6
"Japan","regional corn for ethanol",19.6
"Mexico","regional corn for ethanol",19.6
"Middle East","regional corn for ethanol",19.6
"Pakistan","regional corn for ethanol",19.6
"Russia","regional corn for ethanol",19.6
"South Africa","regional corn for ethanol",19.6
"South America_Northern","regional corn for ethanol",19.6
"South America_Southern","regional corn for ethanol",19.6
"South Asia","regional corn for ethanol",19.6
"South Korea","regional corn for ethanol",19.6
"Southeast Asia","regional corn for ethanol",19.6
"Taiwan","regional corn for ethanol",19.6
"Argentina","regional corn for ethanol",19.6
"Colombia","regional corn for ethanol",19.6
"USA","coal",27.3
"Africa_Eastern","coal",27.3
"Africa_Northern","coal",27.3
"Africa_Southern","coal",27.3
"Africa_Western","coal",27.3
"Australia_NZ","coal",27.3
"Brazil","coal",27.3
"Canada","coal",27.3
"Central America and Caribbean","coal",27.3
"Central Asia","coal",27.3
"China","coal",27.3
"EU-12","coal",27.3
"EU-15","coal",27.3
"Europe_Eastern","coal",27.3
"Europe_Non_EU","coal",27.3
"European Free Trade Association","coal",27.3
"India","coal",27.3
"Indonesia","coal",27.3
"Japan","coal",27.3
"Mexico","coal",27.3
"Middle East","coal",27.3
"Pakistan","coal",27.3
"Russia","coal",27.3
"South Africa","coal",27.3
"South America_Northern","coal",27.3
"South America_Southern","coal",27.3
"South Asia","coal",27.3
"South Korea","coal",27.3
"Southeast Asia","coal",27.3
"Taiwan","coal",27.3
"Argentina","coal",27.3
"Colombia","coal",27.3
"USA","regional coal",27.3
"Africa_Eastern","regional coal",27.3
"Africa_Northern","regional coal",27.3
"Africa_Southern","regional coal",27.3
"Africa_Western","regional coal",27.3
"Australia_NZ","regional coal",27.3
"Brazil","regional coal",27.3
"Canada","regional coal",27.3
"Central America and Caribbean","regional coal",27.3
"Central Asia","regional coal",27.3
"China","regional coal",27.3
"EU-12","regional coal",27.3
"EU-15","regional coal",27.3
"Europe_Eastern","regional coal",27.3
"Europe_Non_EU","regional coal",27.3
"European Free Trade Association","regional coal",27.3
"India","regional coal",27.3
"Indonesia","regional coal",27.3
"Japan","regional coal",27.3
"Mexico","regional coal",27.3
"Middle East","regional coal",27.3
"Pakistan","regional coal",27.3
"Russia","regional coal",27.3
"South Africa","regional coal",27.3
"South America_Northern","regional coal",27.3
"South America_Southern","regional coal",27.3
"South Asia","regional coal",27.3
"South Korea","regional coal",27.3
"Southeast Asia","regional coal",27.3
"Taiwan","regional coal",27.3
"Argentina","regional coal",27.3
"Colombia","regional coal",27.3
"USA","delivered coal",27.3
"Africa_Eastern","delivered coal",27.3
"Africa_Northern","delivered coal",27.3
"Africa_Southern","delivered coal",27.3
"Africa_Western","delivered coal",27.3
"Australia_NZ","delivered coal",27.3
"Brazil","delivered coal",27.3
"Canada","delivered coal",27.3
"Central America and Caribbean","delivered coal",27.3
"Central Asia","delivered coal",27.3
"China","delivered coal",27.3
"EU-12","delivered coal",27.3
"EU-15","delivered coal",27.3
"Europe_Eastern","delivered coal",27.3
"Europe_Non_EU","delivered coal",27.3
"European Free Trade Association","delivered coal",27.3
"India","delivered coal",27.3
"Indonesia","delivered coal",27.3
"Japan","delivered coal",27.3
"Mexico","delivered coal",27.3
"Middle East","delivered coal",27.3
"Pakistan","delivered coal",27.3
"Russia","delivered coal",27.3
"South Africa","delivered coal",27.3
"South America_Northern","delivered coal",27.3
"South America_Southern","delivered coal",27.3
"South Asia","delivered coal",27.3
"South Korea","delivered coal",27.3
"Southeast Asia","delivered coal",27.3
"Taiwan","delivered coal",27.3
"Argentina","delivered coal",27.3
"Colombia","delivered coal",27.3
"USA","natural gas",14.2
"Africa_Eastern","natural gas",14.2
"Africa_Northern","natural gas",14.2
"Africa_Southern","natural gas",14.2
"Africa_Western","natural gas",14.2
"Australia_NZ","natural gas",14.2
"Brazil","natural gas",14.2
"Canada","natural gas",14.2
"Central America and Caribbean","natural gas",14.2
"Central Asia","natural gas",14.2
"China","natural gas",14.2
"EU-12","natural gas",14.2
"EU-15","natural gas",14.2
"Europe_Eastern","natural gas",14.2
"Europe_Non_EU","natural gas",14.2
"European Free Trade Association","natural gas",14.2
"India","natural gas",14.2
"Indonesia","natural gas",14.2
"Japan","natural gas",14.2
"Mexico","natural gas",14.2
"Middle East","natural gas",14.2
"Pakistan","natural gas",14.2
"Russia","natural gas",14.2
"South Africa","natural gas",14.2
"South America_Northern","natural gas",14.2
"South America_Southern","natural gas",14.2
"South Asia","natural gas",14.2
"South Korea","natural gas",14.2
"Southeast Asia","natural gas",14.2
"Taiwan","natural gas",14.2
"Argentina","natural gas",14.2
"Colombia","natural gas",14.2
"USA","regional natural gas",14.2
"Africa_Eastern","regional natural gas",14.2
"Africa_Northern","regional natural gas",14.2
"Africa_Southern","regional natural gas",14.2
"Africa_Western","regional natural gas",14.2
"Australia_NZ","regional natural gas",14.2
"Brazil","regional natural gas",14.2
"Canada","regional natural gas",14.2
"Central America and Caribbean","regional natural gas",14.2
"Central Asia","regional natural gas",14.2
"China","regional natural gas",14.2
"EU-12","regional natural gas",14.2
"EU-15","regional natural gas",14.2
"Europe_Eastern","regional natural gas",14.2
"Europe_Non_EU","regional natural gas",14.2
"European Free Trade Association","regional natural gas",14.2
"India","regional natural gas",14.2
"Indonesia","regional natural gas",14.2
"Japan","regional natural gas",14.2
"Mexico","regional natural gas",14.2
"Middle East","regional natural gas",14.2
"Pakistan","regional natural gas",14.2
"Russia","regional natural gas",14.2
"South Africa","regional natural gas",14.2
"South America_Northern","regional natural gas",14.2
"South America_Southern","regional natural gas",14.2
"South Asia","regional natural gas",14.2
"South Korea","regional natural gas",14.2
"Southeast Asia","regional natural gas",14.2
"Taiwan","regional natural gas",14.2
"Argentina","regional natural gas",14.2
"Colombia","regional natural gas",14.2
"USA","gas processing",14.2
"Africa_Eastern","gas processing",14.2
"Africa_Northern","gas processing",14.2
"Africa_Southern","gas processing",14.2
"Africa_Western","gas processing",14.2
"Australia_NZ","gas processing",14.2
"Brazil","gas processing",14.2
"Canada","gas processing",14.2
"Central America and Caribbean","gas processing",14.2
"Central Asia","gas processing",14.2
"China","gas processing",14.2
"EU-12","gas processing",14.2
"EU-15","gas processing",14.2
"Europe_Eastern","gas processing",14.2
"Europe_Non_EU","gas processing",14.2
"European Free Trade Association","gas processing",14.2
"India","gas processing",14.2
"Indonesia","gas processing",14.2
"Japan","gas processing",14.2
"Mexico","gas processing",14.2
"Middle East","gas processing",14.2
"Pakistan","gas processing",14.2
