# non co2 emissions map
sector,subsector,ghg,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,unit_conv
resid heating TradBio,,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Residential and Commercial,,,Emissions|CO|Energy|Demand|Residential,,,Emissions|CO|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|CO|Energy and Industrial Processes,1
resid others,,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Residential and Commercial,,,Emissions|CO|Energy|Demand|Residential,,,Emissions|CO|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|CO|Energy and Industrial Processes,1
resid others coal,,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Residential and Commercial,,,Emissions|CO|Energy|Demand|Residential,,,Emissions|CO|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|CO|Energy and Industrial Processes,1
resid others modern,biomass,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Residential and Commercial,Emissions|CO|Energy|Demand|Residential and Commercial|Biomass,,Emissions|CO|Energy|Demand|Residential,Emissions|CO|Energy|Demand|Residential|Biomass,,Emissions|CO|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CO|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|CO|Energy and Industrial Processes,1
resid others modern,,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Residential and Commercial,,,Emissions|CO|Energy|Demand|Residential,,,Emissions|CO|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|CO|Energy and Industrial Processes,1
resid others TradBio,traditional biomass,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Residential and Commercial,Emissions|CO|Energy|Demand|Residential and Commercial|Biomass,Emissions|CO|Energy|Demand|Residential and Commercial|Biomass|Traditional,Emissions|CO|Energy|Demand|Residential,Emissions|CO|Energy|Demand|Residential|Biomass,Emissions|CO|Energy|Demand|Residential|Biomass|Traditional,Emissions|CO|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CO|Energy|Demand|Residential and Commercial and AFOFI|Biomass,Emissions|CO|Energy|Demand|Residential and Commercial and AFOFI|Biomass|Traditional,Emissions|CO|Energy and Industrial Processes,1
resid others TradBio,,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Residential and Commercial,,,Emissions|CO|Energy|Demand|Residential,,,Emissions|CO|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|CO|Energy and Industrial Processes,1
trn_aviation_intl,International Aviation,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Bunkers,,,Emissions|CO|Energy|Demand|Bunkers|International Aviation,,,,,,Emissions|CO|Energy and Industrial Processes,1
trn_freight,Domestic Ship,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Transportation,,,,Emissions|CO|Energy|Demand|Transportation|Domestic Shipping,,,,,Emissions|CO|Energy and Industrial Processes,1
trn_freight,Freight Rail,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Transportation,,,,Emissions|CO|Energy|Demand|Transportation|Rail,,,,,Emissions|CO|Energy and Industrial Processes,1
trn_freight_road,Heavy truck,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Transportation,,,,Emissions|CO|Energy|Demand|Transportation|Truck,,,,,Emissions|CO|Energy and Industrial Processes,1
trn_freight_road,Light truck,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Transportation,,,,Emissions|CO|Energy|Demand|Transportation|Truck,,,,,Emissions|CO|Energy and Industrial Processes,1
trn_freight_road,Medium truck,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Transportation,,,,Emissions|CO|Energy|Demand|Transportation|Truck,,,,,Emissions|CO|Energy and Industrial Processes,1
trn_pass,Domestic Aviation,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Transportation,,,,Emissions|CO|Energy|Demand|Transportation|Domestic Aviation,,,,,Emissions|CO|Energy and Industrial Processes,1
trn_pass,Passenger Rail,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Transportation,,,,Emissions|CO|Energy|Demand|Transportation|Rail,,,,,Emissions|CO|Energy and Industrial Processes,1
trn_pass_road,Bus,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Transportation,,,,Emissions|CO|Energy|Demand|Transportation|Bus,,,,,Emissions|CO|Energy and Industrial Processes,1
trn_pass_road_LDV,2W and 3W,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Transportation,,,,Emissions|CO|Energy|Demand|Transportation|Light-Duty Vehicle,,Emissions|CO|Energy|Demand|Transportation|Light-Duty Vehicle|Two-Wheeler,,,Emissions|CO|Energy and Industrial Processes,1
trn_pass_road_LDV_4W,Car,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Transportation,,,,Emissions|CO|Energy|Demand|Transportation|Light-Duty Vehicle,,Emissions|CO|Energy|Demand|Transportation|Light-Duty Vehicle|Midsize Car,,,Emissions|CO|Energy and Industrial Processes,1
trn_pass_road_LDV_4W,Large Car and Truck,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Transportation,,,,Emissions|CO|Energy|Demand|Transportation|Light-Duty Vehicle,,Emissions|CO|Energy|Demand|Transportation|Light-Duty Vehicle|Large Car and SUV,,,Emissions|CO|Energy and Industrial Processes,1
trn_pass_road_LDV_4W,Mini Car,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Transportation,,,,Emissions|CO|Energy|Demand|Transportation|Light-Duty Vehicle,,Emissions|CO|Energy|Demand|Transportation|Light-Duty Vehicle|Subcompact Car,,,Emissions|CO|Energy and Industrial Processes,1
trn_shipping_intl,International Ship,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand,,Emissions|CO|Energy|Demand|Bunkers,,,Emissions|CO|Energy|Demand|Bunkers|International Shipping,,,,,,Emissions|CO|Energy and Industrial Processes,1
UnmanagedLand,ForestFire,CO,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Land,,Emissions|CO|AFOLU|Land|Fires,,,Emissions|CO|AFOLU|Land|Fires|Forest Burning,Emissions|CO|AFOLU [NGHGI],,,,,,1
UnmanagedLand,GrasslandFires,CO,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Land,,Emissions|CO|AFOLU|Land|Fires,,,Emissions|CO|AFOLU|Land|Fires|Grassland Burning,Emissions|CO|AFOLU [NGHGI],,,,,,1
UnmanagedLand,,CO,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Land,,Emissions|CO|AFOLU|Land|Other,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
urban processes,landfills,CO,Emissions|CO,Emissions|CO|Waste,,,,,,,,,,,,,1
urban processes,waste_incineration,CO,Emissions|CO,Emissions|CO|Waste,,,,,,,,,,,,,1
urban processes,wastewater,CO,Emissions|CO,Emissions|CO|Waste,,,,,,,,,,,,,1
urban processes,,CO,Emissions|CO,Emissions|CO|Other,,,,,,,,,,,,,1
waste biomass for paper,biomass,CO,Emissions|CO,Emissions|CO|Industrial Processes,Emissions|CO|Industrial Processes|Pulp and Paper,,,,,,,,,,,Emissions|CO|Energy and Industrial Processes,1
waste biomass for paper,,CO,Emissions|CO,Emissions|CO|Industrial Processes,Emissions|CO|Industrial Processes|Pulp and Paper,,,,,,,,,,,Emissions|CO|Energy and Industrial Processes,1
Corn,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
FiberCrop,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
Fruits,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
Legumes,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
MiscCrop,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
NutsSeeds,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
OilCrop,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
OilPalm,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
OtherGrain,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
PalmFruit,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
Rice,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
RootTuber,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
Soybean,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
SugarCrop,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
Vegetables,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
Wheat,,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,Emissions|CO|AFOLU|Agricultural Waste Burning,,,,,,Emissions|CO|AFOLU [NGHGI],,,,,,1
H2 liquid truck,,H2,NoReported,,,,,,,,,,,,,,1
H2 pipeline,,H2,NoReported,,,,,,,,,,,,,,1
H2 wholesale dispensing,,H2,NoReported,,,,,,,,,,,,,,1
UnmanagedLand,ForestFire,H2,NoReported,,,,,,,,,,,,,,1
UnmanagedLand,GrasslandFires,H2,NoReported,,,,,,,,,,,,,,1
UnmanagedLand,,H2,NoReported,,,,,,,,,,,,,,1
Corn,,H2_AWB,NoReported,,,,,,,,,,,,,,1
FiberCrop,,H2_AWB,NoReported,,,,,,,,,,,,,,1
Fruits,,H2_AWB,NoReported,,,,,,,,,,,,,,1
Legumes,,H2_AWB,NoReported,,,,,,,,,,,,,,1
MiscCrop,,H2_AWB,NoReported,,,,,,,,,,,,,,1
NutsSeeds,,H2_AWB,NoReported,,,,,,,,,,,,,,1
OilCrop,,H2_AWB,NoReported,,,,,,,,,,,,,,1
OilPalm,,H2_AWB,NoReported,,,,,,,,,,,,,,1
OtherGrain,,H2_AWB,NoReported,,,,,,,,,,,,,,1
PalmFruit,,H2_AWB,NoReported,,,,,,,,,,,,,,1
Rice,,H2_AWB,NoReported,,,,,,,,,,,,,,1
RootTuber,,H2_AWB,NoReported,,,,,,,,,,,,,,1
Soybean,,H2_AWB,NoReported,,,,,,,,,,,,,,1
SugarCrop,,H2_AWB,NoReported,,,,,,,,,,,,,,1
Vegetables,,H2_AWB,NoReported,,,,,,,,,,,,,,1
Wheat,,H2_AWB,NoReported,,,,,,,,,,,,,,1
comm cooling,,HFC125,,Emissions|HFC|HFC125,,,,,,,,,,,,,1
industrial processes,solvents,HFC125,,Emissions|HFC|HFC125,,,,,,,,,,,,,1
industrial processes,,HFC125,,Emissions|HFC|HFC125,,,,,,,,,,,,,1
resid cooling,,HFC125,,Emissions|HFC|HFC125,,,,,,,,,,,,,1
resid cooling modern,,HFC125,,Emissions|HFC|HFC125,,,,,,,,,,,,,1
urban processes,,HFC125,,Emissions|HFC|HFC125,,,,,,,,,,,,,1
comm cooling,,HFC134a,,Emissions|HFC|HFC134a,,,,,,,,,,,,,1
industrial processes,solvents,HFC134a,,Emissions|HFC|HFC134a,,,,,,,,,,,,,1
industrial processes,,HFC134a,,Emissions|HFC|HFC134a,,,,,,,,,,,,,1
resid cooling,,HFC134a,,Emissions|HFC|HFC134a,,,,,,,,,,,,,1
resid cooling modern,,HFC134a,,Emissions|HFC|HFC134a,,,,,,,,,,,,,1
urban processes,landfills,HFC134a,,Emissions|HFC|HFC134a,,,,,,,,,,,,,1
urban processes,waste_incineration,HFC134a,,Emissions|HFC|HFC134a,,,,,,,,,,,,,1
urban processes,wastewater,HFC134a,,Emissions|HFC|HFC134a,,,,,,,,,,,,,1
urban processes,,HFC134a,,Emissions|HFC|HFC134a,,,,,,,,,,,,,1
comm cooling,,HFC143a,,Emissions|HFC|HFC143a,,,,,,,,,,,,,1
industrial processes,solvents,HFC143a,,Emissions|HFC|HFC143a,,,,,,,,,,,,,1
industrial processes,,HFC143a,,Emissions|HFC|HFC143a,,,,,,,,,,,,,1
resid cooling,,HFC143a,,Emissions|HFC|HFC143a,,,,,,,,,,,,,1
resid cooling modern,,HFC143a,,Emissions|HFC|HFC143a,,,,,,,,,,,,,1
urban processes,,HFC143a,,Emissions|HFC|HFC143a,,,,,,,,,,,,,1
industrial processes,solvents,HFC152a,,Emissions|HFC|HFC152a,,,,,,,,,,,,,1
industrial processes,,HFC152a,,Emissions|HFC|HFC152a,,,,,,,,,,,,,1
urban processes,landfills,HFC152a,,Emissions|HFC|HFC152a,,,,,,,,,,,,,1
urban processes,waste_incineration,HFC152a,,Emissions|HFC|HFC152a,,,,,,,,,,,,,1
urban processes,wastewater,HFC152a,,Emissions|HFC|HFC152a,,,,,,,,,,,,,1
urban processes,,HFC152a,,Emissions|HFC|HFC152a,,,,,,,,,,,,,1
industrial processes,solvents,HFC227ea,,Emissions|HFC|HFC227ea,,,,,,,,,,,,,1
industrial processes,,HFC227ea,,Emissions|HFC|HFC227ea,,,,,,,,,,,,,1
urban processes,landfills,HFC227ea,,Emissions|HFC|HFC227ea,,,,,,,,,,,,,1
urban processes,waste_incineration,HFC227ea,,Emissions|HFC|HFC227ea,,,,,,,,,,,,,1
urban processes,wastewater,HFC227ea,,Emissions|HFC|HFC227ea,,,,,,,,,,,,,1
urban processes,,HFC227ea,,Emissions|HFC|HFC227ea,,,,,,,,,,,,,1
comm cooling,,HFC23,,Emissions|HFC|HFC23,,,,,,,,,,,,,1
industrial processes,solvents,HFC23,,Emissions|HFC|HFC23,,,,,,,,,,,,,1
industrial processes,,HFC23,,Emissions|HFC|HFC23,,,,,,,,,,,,,1
resid cooling,,HFC23,,Emissions|HFC|HFC23,,,,,,,,,,,,,1
resid cooling modern,,HFC23,,Emissions|HFC|HFC23,,,,,,,,,,,,,1
urban processes,,HFC23,,Emissions|HFC|HFC23,,,,,,,,,,,,,1
comm cooling,,HFC236fa,,Emissions|HFC|HFC236fa,,,,,,,,,,,,,1
industrial processes,solvents,HFC236fa,,Emissions|HFC|HFC236fa,,,,,,,,,,,,,1
industrial processes,,HFC236fa,,Emissions|HFC|HFC236fa,,,,,,,,,,,,,1
resid cooling modern,,HFC236fa,,Emissions|HFC|HFC236fa,,,,,,,,,,,,,1
urban processes,landfills,HFC236fa,,Emissions|HFC|HFC236fa,,,,,,,,,,,,,1
urban processes,waste_incineration,HFC236fa,,Emissions|HFC|HFC236fa,,,,,,,,,,,,,1
urban processes,wastewater,HFC236fa,,Emissions|HFC|HFC236fa,,,,,,,,,,,,,1
urban processes,,HFC236fa,,Emissions|HFC|HFC236fa,,,,,,,,,,,,,1
industrial processes,solvents,HFC245fa,,Emissions|HFC|HFC245fa,,,,,,,,,,,,,1
industrial processes,,HFC245fa,,Emissions|HFC|HFC245fa,,,,,,,,,,,,,1
urban processes,,HFC245fa,,Emissions|HFC|HFC245fa,,,,,,,,,,,,,1
comm cooling,,HFC32,,Emissions|HFC|HFC32,,,,,,,,,,,,,1
industrial processes,solvents,HFC32,,Emissions|HFC|HFC32,,,,,,,,,,,,,1
industrial processes,,HFC32,,Emissions|HFC|HFC32,,,,,,,,,,,,,1
resid cooling,,HFC32,,Emissions|HFC|HFC32,,,,,,,,,,,,,1
resid cooling modern,,HFC32,,Emissions|HFC|HFC32,,,,,,,,,,,,,1
urban processes,,HFC32,,Emissions|HFC|HFC32,,,,,,,,,,,,,1
industrial processes,solvents,HFC365mfc,,Emissions|HFC|HFC365mfc,,,,,,,,,,,,,1
industrial processes,,HFC365mfc,,Emissions|HFC|HFC365mfc,,,,,,,,,,,,,1
industrial processes,solvents,HFC43,,Emissions|HFC|HFC43-10,,,,,,,,,,,,,1
industrial processes,,HFC43,,Emissions|HFC|HFC43-10,,,,,,,,,,,,,1
agricultural energy use,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|AFOFI,,,,,,Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
alumina,biomass,N2O,Emissions|N2O,Emissions|N2O|Industrial Processes,Emissions|N2O|Industrial Processes|Non-Ferrous Metals,,,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
alumina,,N2O,Emissions|N2O,Emissions|N2O|Industrial Processes,Emissions|N2O|Industrial Processes|Non-Ferrous Metals,,,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
ammonia,,N2O,Emissions|N2O,Emissions|N2O|Industrial Processes,Emissions|N2O|Industrial Processes|Chemicals,,Emissions|N2O|Industrial Processes|Chemicals|Ammonia,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
backup_electricity,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Supply,,Emissions|N2O|Energy|Supply|Electricity,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
chemical energy use,biomass,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Industry,Emissions|N2O|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
chemical energy use,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Industry,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
comm cooling,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Residential and Commercial,,,Emissions|N2O|Energy|Demand|Commercial,,,Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
comm heating,biomass,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Residential and Commercial,Emissions|N2O|Energy|Demand|Residential and Commercial|Biomass,,Emissions|N2O|Energy|Demand|Commercial,Emissions|N2O|Energy|Demand|Commercial|Biomass,,Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI,Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
comm heating,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Residential and Commercial,,,Emissions|N2O|Energy|Demand|Commercial,,,Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
comm others,biomass,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Residential and Commercial,Emissions|N2O|Energy|Demand|Residential and Commercial|Biomass,,Emissions|N2O|Energy|Demand|Commercial,Emissions|N2O|Energy|Demand|Commercial|Biomass,,Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI,Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
comm others,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Residential and Commercial,,,Emissions|N2O|Energy|Demand|Commercial,,,Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
construction energy use,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Industry,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
district heat,biomass,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Supply,Emissions|N2O|Energy|Supply|Biomass,Emissions|N2O|Energy|Supply|Heat,Emissions|N2O|Energy|Supply|Heat|Biomass,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
district heat,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Supply,,Emissions|N2O|Energy|Supply|Heat,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
electricity,biomass,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Supply,Emissions|N2O|Energy|Supply|Biomass,Emissions|N2O|Energy|Supply|Electricity,Emissions|N2O|Energy|Supply|Electricity|Biomass,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
electricity,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Supply,,Emissions|N2O|Energy|Supply|Electricity,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
industrial energy use,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Industry,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
industrial processes,solvents,N2O,Emissions|N2O,Emissions|N2O|Product Use,Emissions|N2O|Product Use|Solvents,,,,,,,,,,,,1.00E+03
industrial processes,,N2O,Emissions|N2O,Emissions|N2O|Industrial Processes,,,,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
iron and steel,,N2O,Emissions|N2O,Emissions|N2O|Industrial Processes,Emissions|N2O|Industrial Processes|Iron and Steel,,,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
mining energy use,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Industry,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
N fertilizer,,N2O,Emissions|N2O,Emissions|N2O|Industrial Processes,Emissions|N2O|Industrial Processes|Chemicals,,Emissions|N2O|Industrial Processes|Chemicals|Ammonia,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
other industrial energy use,biomass,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Industry,Emissions|N2O|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
other industrial energy use,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Industry,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
process heat cement,biomass,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Industry,Emissions|N2O|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
process heat cement,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Industry,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
process heat food processing,biomass,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Industry,Emissions|N2O|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
process heat food processing,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Industry,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
process heat paper,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Industry,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
refining,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Supply,,Emissions|N2O|Energy|Supply|Liquids,,,,,,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
resid cooling,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Residential and Commercial,,,Emissions|N2O|Energy|Demand|Residential,,,Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
resid cooling modern,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Residential and Commercial,,,Emissions|N2O|Energy|Demand|Residential,,,Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
resid heating,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Residential and Commercial,,,Emissions|N2O|Energy|Demand|Residential,,,Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
resid heating coal,,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand,,Emissions|N2O|Energy|Demand|Residential and Commercial,,,Emissions|N2O|Energy|Demand|Residential,,,Emissions|N2O|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
