# non co2 emissions map
sector,subsector,ghg,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,unit_conv
process heat cement,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
process heat food processing,biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,Emissions|BC|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
process heat food processing,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
process heat paper,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
resid cooling,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
resid cooling modern,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
resid heating,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
resid heating coal,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
resid heating modern,biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,Emissions|BC|Energy|Demand|Residential and Commercial|Biomass,,Emissions|BC|Energy|Demand|Residential,Emissions|BC|Energy|Demand|Residential|Biomass,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|BC|Energy and Industrial Processes,1
resid heating modern,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
resid heating TradBio,traditional biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,Emissions|BC|Energy|Demand|Residential and Commercial|Biomass,Emissions|BC|Energy|Demand|Residential and Commercial|Biomass|Traditional,Emissions|BC|Energy|Demand|Residential,Emissions|BC|Energy|Demand|Residential|Biomass,Emissions|BC|Energy|Demand|Residential|Biomass|Traditional,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI|Biomass,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI|Biomass|Traditional,Emissions|BC|Energy and Industrial Processes,1
resid heating TradBio,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
resid others,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
resid others coal,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
resid others modern,biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,Emissions|BC|Energy|Demand|Residential and Commercial|Biomass,,Emissions|BC|Energy|Demand|Residential,Emissions|BC|Energy|Demand|Residential|Biomass,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|BC|Energy and Industrial Processes,1
resid others modern,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
