region,GCAM_region_ID,year,GCAM_commodity,element,Mt_avail,Pcal_avail,kcalPerg,PcalPerMt
Africa_Eastern,2,2021,Beef,Food,1.608381378961144,3.11098191649078,1.9342314933415654,1.9342314933415654
Africa_Eastern,2,2021,Corn,Food,12.393458522701783,43.10270506738829,3.477859306862139,3.477859306862139
Africa_Eastern,2,2021,Dairy,Food,19.60453955183323,14.35403782769699,0.7321792888706093,0.7321792888706093
Africa_Eastern,2,2021,FiberCrop,Food,0.05252992588800197,0.39512390366666666,7.521881993686849,7.521881993686849
Africa_Eastern,2,2021,Fruits,Food,23.54848037113734,15.953007400166666,0.6774537952656929,0.6774537952656929
Africa_Eastern,2,2021,Legumes,Food,6.202722150658326,19.85748166642057,3.2014140217957356,3.2014140217957356
Africa_Eastern,2,2021,MiscCrop,Food,0.8157671556058892,1.230902515939007,1.5088895250076442,1.5088895250076442
Africa_Eastern,2,2021,NutsSeeds,Food,1.3940123561364437,6.393986408169859,4.586750167617614,4.586750167617614
Africa_Eastern,2,2021,OilCrop,Food,1.4158774510654393,8.86649927631897,6.262193998249625,6.262193998249625
Africa_Eastern,2,2021,OilPalm,Food,4.009438255938705,9.5173469592,2.373735758395352,2.373735758395352
Africa_Eastern,2,2021,OtherGrain,Food,16.034179953766074,53.7470361790617,3.352028998928487,3.352028998928487
Africa_Eastern,2,2021,OtherMeat_Fish,Food,2.502383959556672,3.061616674977462,1.2234799792753885,1.2234799792753885
Africa_Eastern,2,2021,Pork,Food,0.20841090917099217,0.4942999726,2.371756711614593,2.371756711614593
Africa_Eastern,2,2021,Poultry,Food,0.7947957298485985,1.0858580076982267,1.3662101681208996,1.3662101681208996
Africa_Eastern,2,2021,Rice,Food,8.395328852717538,23.00992693513333,2.7408011453518104,2.7408011453518104
Africa_Eastern,2,2021,RootTuber,Food,22.632938493233112,22.213037206909576,0.9814473367455543,0.9814473367455543
Africa_Eastern,2,2021,SheepGoat,Food,0.9015869450403493,1.5613241337659576,1.731751044483106,1.731751044483106
Africa_Eastern,2,2021,Soybean,Food,0.270233052276425,1.5497579592666668,5.734894181935223,5.734894181935223
Africa_Eastern,2,2021,SugarCrop,Food,37.986360417657394,21.452098659433332,0.564731614810395,0.564731614810395
Africa_Eastern,2,2021,Vegetables,Food,12.408904512176642,4.427214758099999,0.35677724441796216,0.3567772444179621
Africa_Eastern,2,2021,Wheat,Food,10.408883280229887,35.656347262806385,3.4255689398045486,3.4255689398045486
