# en_multiplier
# Description: Multiplier calculated from documented home energy expenditure numbers for key countries in 2021 by IEA, divided by GCAM residential energy expenditure results from 2021"
# Source: https://www.iea.org/commentaries/did-affordability-measures-help-tame-energy-price-spikes-for-consumers-in-major-economies
region,energy_mult,year
Africa_Eastern,1.5,2021
Africa_Northern,1.5,2021
Africa_Southern,1.5,2021
Africa_Western,1.5,2021
Argentina,1.5,2021
Australia_NZ,2.419095766,2021
Brazil,3.202831603,2021
Canada,0.671114828,2021
Central America and Caribbean,1.5,2021
Central Asia,1,2021
China,1.898551188,2021
Colombia,1.5,2021
Bulgaria,1.5,2021
Cyprus,1.5,2021
Czech Republic,1.5,2021
Estonia,1.5,2021
Hungary,1.5,2021
Latvia,1.5,2021
Lithuania,1.5,2021
Malta,1.5,2021
Poland,1.5,2021
Romania,1.5,2021
Slovakia,1.5,2021
Slovenia,1.5,2021
Austria,2.018028003,2021
Belgium,2.018028003,2021
Denmark,2.018028003,2021
Finland,2.018028003,2021
France,2.018028003,2021
Germany,2.018028003,2021
Greece,2.018028003,2021
Ireland,2.018028003,2021
Italy,2.018028003,2021
Luxembourg,2.018028003,2021
Netherlands,2.018028003,2021
Portugal,2.018028003,2021
Spain,2.018028003,2021
Sweden,2.018028003,2021
UK,2.018028003,2021
Ukraine,1,2021
Belarus,1.5,2021
Moldova,1.5,2021
Croatia,1.5,2021
Albania,1.5,2021
Bosnia and Herzegovina,1.5,2021
Macedonia,1.5,2021
Serbia and Montenegro,1.5,2021
Turkey,1.5,2021
Iceland,2,2021
Norway,2,2021
Switzerland,2,2021
India,1.390518133,2021
Indonesia,1.277066609,2021
Japan,1.875748985,2021
Mexico,3.133332693,2021
Middle East,0.313325182,2021
Pakistan,1.4,2021
Russia,1,2021
South Africa,1.343826464,2021
South America_Northern,1,2021
South America_Southern,2,2021
South Asia,1.5,2021
South Korea,1.50051418,2021
Southeast Asia,1.5,2021
Taiwan,1.5,2021
USA,1.102418371,2021
