# Transport Demand for Final Fuels
input,sector,mode,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,unit_conv
elect_td_trn,trn_freight_road,Heavy truck,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_freight_road,Heavy truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_freight_road,Heavy truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
H2 retail dispensing,trn_freight_road,Light truck,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Hydrogen,,Final Energy (w/o bunkers),1
delivered gas,trn_freight_road,Heavy truck,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Gases,,Final Energy (w/o bunkers),1
delivered gas,trn_freight_road,Medium truck,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Gases,,Final Energy (w/o bunkers),1
delivered gas,trn_freight_road,Light truck,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Gases,,Final Energy (w/o bunkers),1
delivered gas transport,trn_freight_road,Light truck,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Gases,,Final Energy (w/o bunkers),1
elect_td_trn,trn_freight_road,Light truck,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_freight_road,Light truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_freight_road,Light truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
H2 retail dispensing,trn_freight_road,Medium truck,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Hydrogen,,Final Energy (w/o bunkers),1
elect_td_trn,trn_freight_road,Medium truck,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_freight_road,Medium truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_freight_road,Medium truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
H2 wholesale dispensing,trn_pass,Domestic Aviation,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Domestic Aviation,Final Energy|Transportation|Domestic Aviation|Hydrogen,,Final Energy (w/o bunkers),1
elect_td_trn,trn_pass,Domestic Aviation,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Domestic Aviation,Final Energy|Transportation|Domestic Aviation|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_pass,Domestic Aviation,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Domestic Aviation,Final Energy|Transportation|Domestic Aviation|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_pass,Domestic Aviation,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Domestic Aviation,Final Energy|Transportation|Domestic Aviation|Liquids,,Final Energy (w/o bunkers),1
elect_td_trn,trn_pass,HSR,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Electricity,,Final Energy (w/o bunkers),1
elect_td_trn,trn_pass,Passenger Rail,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_pass,Passenger Rail,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_pass,Passenger Rail,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Liquids,,Final Energy (w/o bunkers),1
H2 retail dispensing,trn_pass_road,Bus,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Bus,Final Energy|Transportation|Bus|Hydrogen,,Final Energy (w/o bunkers),1
delivered gas,trn_pass_road,Bus,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Bus,Final Energy|Transportation|Bus|Gases,,Final Energy (w/o bunkers),1
delivered gas transport,trn_pass_road,Bus,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Bus,Final Energy|Transportation|Bus|Gases,,Final Energy (w/o bunkers),1
elect_td_trn,trn_pass_road,Bus,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Bus,Final Energy|Transportation|Bus|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_pass_road,Bus,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Bus,Final Energy|Transportation|Bus|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_pass_road,Bus,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Bus,Final Energy|Transportation|Bus|Liquids,,Final Energy (w/o bunkers),1
H2 retail dispensing,trn_pass_road_LDV,2W and 3W,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Hydrogen,,Final Energy (w/o bunkers),1
delivered gas,trn_pass_road_LDV,2W and 3W,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Gases,,Final Energy (w/o bunkers),1
delivered gas transport,trn_pass_road_LDV,2W and 3W,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Gases,,Final Energy (w/o bunkers),1
elect_td_trn,trn_pass_road_LDV,2W and 3W,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_pass_road_LDV,2W and 3W,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_pass_road_LDV,2W and 3W,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Liquids,,Final Energy (w/o bunkers),1
