# Transport Demand for Final Fuels
input,sector,mode,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,unit_conv
delivered gas,trn_pass_road_LDV_4W,Mini Car,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Electricity,,Final Energy (w/o bunkers),1
delivered gas transport,trn_pass_road_LDV_4W,Mini Car,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Electricity,,Final Energy (w/o bunkers),1
elect_td_trn,trn_pass_road_LDV_4W,Mini Car,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_pass_road_LDV_4W,Mini Car,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Electricity,,Final Energy (w/o bunkers),1
refined liquids transport,trn_pass_road_LDV_4W,Mini Car,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Light-Duty Vehicle,Final Energy|Transportation|Light-Duty Vehicle|Electricity,,Final Energy (w/o bunkers),1
H2 wholesale dispensing,trn_shipping_intl,International Ship,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,Final Energy|Bunkers,Final Energy|Bunkers|Hydrogen,Final Energy|Bunkers|Freight,Final Energy|Bunkers|International Shipping,Final Energy|Bunkers|International Shipping|Freight,,,Final Energy|Transportation|Domestic Shipping,Final Energy|Transportation|Domestic Shipping|Hydrogen,,,1
elect_td_trn,trn_shipping_intl,International Ship,Final Energy,Final Energy|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,Final Energy|Bunkers,Final Energy|Bunkers|Electricity,Final Energy|Bunkers|Freight,Final Energy|Bunkers|International Shipping,Final Energy|Bunkers|International Shipping|Freight,,,Final Energy|Transportation|Domestic Shipping,Final Energy|Transportation|Domestic Shipping|Electricity,,,1
refined liquids bunkers,trn_shipping_intl,International Ship,Final Energy,Final Energy|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,Final Energy|Bunkers,Final Energy|Bunkers|Liquids,Final Energy|Bunkers|Freight,Final Energy|Bunkers|International Shipping,Final Energy|Bunkers|International Shipping|Freight,,,Final Energy|Transportation|Domestic Shipping,Final Energy|Transportation|Domestic Shipping|Liquids,,,1
refined liquids enduse,trn_shipping_intl,International Ship,Final Energy,Final Energy|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,Final Energy|Bunkers,Final Energy|Bunkers|Liquids,Final Energy|Bunkers|Freight,Final Energy|Bunkers|International Shipping,Final Energy|Bunkers|International Shipping|Freight,,,Final Energy|Transportation|Domestic Shipping,Final Energy|Transportation|Domestic Shipping|Liquids,,,1
refined liquids transport,trn_shipping_intl,International Ship,Final Energy,Final Energy|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,Final Energy|Bunkers,Final Energy|Bunkers|Liquids,Final Energy|Bunkers|Freight,Final Energy|Bunkers|International Shipping,Final Energy|Bunkers|International Shipping|Freight,,,Final Energy|Transportation|Domestic Shipping,Final Energy|Transportation|Domestic Shipping|Liquids,,,1
