# Description: per-basin vegetation and soil carbon densities used as emission factors for afforestation/reforestation (AR) carbon storage estimation
# Usage: cdf_lulucf computation
# Source: GCAM v8 ScenMIP - GCAM_land_carbon_info_ScenMIP (Xin Zhao, 2026-05-14) 
region,basin,LandLeaf,veg.carbon.density,soil.carbon.density,mature.age,min.soil.carbon.density,SoilTime
Australia_NZ,AusCstN,UnmanagedPasture_AusCstN,198,179.666666666667,23,158.145210785253,50
Australia_NZ,AusCstE,UnmanagedPasture_AusCstE,51.3333333333333,198,17,187.19451598436,50
Australia_NZ,AusCstW,UnmanagedPasture_AusCstW,146.666666666667,220,20,121.823627415489,50
Australia_NZ,AusInt,UnmanagedPasture_AusInt,18.3333333333333,88,22,76.6512487205126,50
Australia_NZ,NewZealand,UnmanagedPasture_NewZealand,194.333333333333,601.333333333333,13,537.852632607897,50
Australia_NZ,AusCstS,UnmanagedPasture_AusCstS,25.6666666666667,124.666666666667,24,103.9013407097,50
Australia_NZ,MurrayDrlg,UnmanagedPasture_MurrayDrlg,29.3333333333333,157.666666666667,16,141.248666981081,50
Australia_NZ,Tasmania,UnmanagedPasture_Tasmania,348.333333333333,685.666666666667,25,518.423889656303,50
Brazil,OrinocoR,UnmanagedPasture_OrinocoR,29.3333333333333,293.333333333333,29,265.306930693069,25
Brazil,SAmerCstNE,UnmanagedPasture_SAmerCstNE,161.333333333333,322.666666666667,18,219.400972170456,25
Brazil,AmazonR,UnmanagedPasture_AmazonR,337.333333333333,289.666666666667,20,235.872767000304,25
Brazil,BrzCstN,UnmanagedPasture_BrzCstN,176,176,24,170.25634716028,25
Brazil,TocantinsR,UnmanagedPasture_TocantinsR,172.333333333333,176,26,160.637098549652,25
Brazil,BrzCstE,UnmanagedPasture_BrzCstE,168.666666666667,146.666666666667,13,129.758357068666,25
Brazil,ParnaibaR,UnmanagedPasture_ParnaibaR,172.333333333333,146.666666666667,27,128.333333333333,25
Brazil,SaoFrancR,UnmanagedPasture_SaoFrancR,187,176,28,148.096408939082,25
Brazil,BrzCstS,UnmanagedPasture_BrzCstS,157.666666666667,293.333333333333,21,241.56408812968,25
Brazil,RioLaPlata,UnmanagedPasture_RioLaPlata,161.333333333333,264,22,229.173272646313,25
Canada,NWTerr,UnmanagedPasture_NWTerr,66,1114.66666666667,10,870.48274616047,75
Canada,PacArctic,UnmanagedPasture_PacArctic,69.6666666666667,674.666666666667,10,580.017902258112,75
Canada,Mackenzie,UnmanagedPasture_Mackenzie,66,1026.66666666667,10,698.612174430072,75
Canada,HudsonBay,UnmanagedPasture_HudsonBay,40.3333333333333,762.666666666667,10,760.130496370976,75
Canada,CanAtl,UnmanagedPasture_CanAtl,55,645.333333333333,10,530.378739200295,75
Canada,NelsonR,UnmanagedPasture_NelsonR,55,381.333333333333,10,422.138206854892,75
Canada,FraserR,UnmanagedPasture_FraserR,161.333333333333,557.333333333333,10,427.004906674299,75
Canada,ChurchillR,UnmanagedPasture_ChurchillR,36.6666666666667,586.666666666667,10,504.274509803922,75
Canada,StLwrncR,UnmanagedPasture_StLwrncR,47.6666666666667,586.666666666667,10,539.421417760938,75
Canada,MissouriR,UnmanagedPasture_MissouriR,29.3333333333333,234.666666666667,10,206.716692010186,75
Canada,GreatLakes,UnmanagedPasture_GreatLakes,150.333333333333,469.333333333333,10,448.687240592085,75
Canada,UsaPacNW,UnmanagedPasture_UsaPacNW,179.666666666667,498.666666666667,10,431.605315792288,75
Canada,UsaCstNE,UnmanagedPasture_UsaCstNE,143,528,10,455.454953432317,75
Central America and Caribbean,Caribbean,UnmanagedPasture_Caribbean,91.6666666666667,366.666666666667,15,318.166139049736,25
Central America and Caribbean,YucatanP,UnmanagedPasture_YucatanP,102.666666666667,363,13,317.557455065238,25
Central America and Caribbean,GrijUsuR,UnmanagedPasture_GrijUsuR,194.333333333333,381.333333333333,12,290.296608228569,25
Central America and Caribbean,CntAmer,UnmanagedPasture_CntAmer,161.333333333333,381.333333333333,16,346.432628760164,25
Central America and Caribbean,SAmerCstN,UnmanagedPasture_SAmerCstN,278.666666666667,341,10,390.029364772681,25
Central America and Caribbean,ColEcuaCst,UnmanagedPasture_ColEcuaCst,410.666666666667,465.666666666667,11,437.969164783658,25
Central Asia,VolgaR,UnmanagedPasture_VolgaR,22,352,10,311.562778916111,75
Central Asia,UralR,UnmanagedPasture_UralR,18.3333333333333,352,10,309.171262031626,75
Central Asia,Gobi,UnmanagedPasture_Gobi,29.3333333333333,458.333333333333,10,410.841118467061,75
Central Asia,AmurR,UnmanagedPasture_AmurR,33,326.333333333333,10,303.889914201624,75
Central Asia,CaspianNE,UnmanagedPasture_CaspianNE,22,300.666666666667,10,268.649610091518,75
Central Asia,BlackSeaN,UnmanagedPasture_BlackSeaN,480.333333333333,645.333333333333,10,564.558139534884,75
Central Asia,YeniseiR,UnmanagedPasture_YeniseiR,44,469.333333333333,10,422.515264851449,75
Central Asia,CaspianE,UnmanagedPasture_CaspianE,18.3333333333333,121,10,61.9360480633315,75
Central Asia,ObR,UnmanagedPasture_ObR,25.6666666666667,418,10,377.207740234045,75
Central Asia,AmuDaryaR,UnmanagedPasture_AmuDaryaR,18.3333333333333,267.666666666667,10,146.050032656733,75
Central Asia,LBalkash,UnmanagedPasture_LBalkash,22,297,10,274.418350052826,75
Central Asia,BlackSeaS,UnmanagedPasture_BlackSeaS,205.333333333333,586.666666666667,10,471.838067724065,75
Central Asia,CaspianSW,UnmanagedPasture_CaspianSW,55,374,10,295.543709286788,75
Central Asia,SyrDaryaR,UnmanagedPasture_SyrDaryaR,14.6666666666667,297,10,237.547067278534,75
Central Asia,Tarim,UnmanagedPasture_Tarim,25.6666666666667,440,10,402.289149266442,75
China,RusCstSE,UnmanagedPasture_RusCstSE,77,381.333333333333,10,390.548607928918,50
China,Gobi,UnmanagedPasture_Gobi,22,234.666666666667,10,200.43600359403,50
China,AmurR,UnmanagedPasture_AmurR,77,440,10,402.944529366625,50
China,ObR,UnmanagedPasture_ObR,33,616,10,408.012488059069,50
China,AmuDaryaR,UnmanagedPasture_AmuDaryaR,25.6666666666667,381.333333333333,35,381.333333333333,50
China,BoHai,UnmanagedPasture_BoHai,29.3333333333333,234.666666666667,10,253.204937173173,50
China,LBalkash,UnmanagedPasture_LBalkash,77,381.333333333333,10,393.205328196052,50
China,SyrDaryaR,UnmanagedPasture_SyrDaryaR,25.6666666666667,381.333333333333,10,381.333333333333,50
China,ZiyaHe,UnmanagedPasture_ZiyaHe,33,205.333333333333,10,238.343745475798,50
China,ChinaCst,UnmanagedPasture_ChinaCst,121,293.333333333333,10,233.366617447008,50
China,HuangHeR,UnmanagedPasture_HuangHeR,36.6666666666667,322.666666666667,10,247.091292017274,50
China,Tarim,UnmanagedPasture_Tarim,33,264,10,221.414849746015,50
China,IndusR,UnmanagedPasture_IndusR,33,293.333333333333,10,404.897694159686,50
China,Tibet,UnmanagedPasture_Tibet,33,205.333333333333,10,205.333333333333,50
China,Yangtze,UnmanagedPasture_Yangtze,110,381.333333333333,10,275.605938284767,50
China,XunJiang,UnmanagedPasture_XunJiang,168.666666666667,322.666666666667,10,257.286448311662,50
China,Hong,UnmanagedPasture_Hong,216.333333333333,293.333333333333,11,263.161652838217,50
China,GangesR,UnmanagedPasture_GangesR,44,528,10,391.554103412592,50
China,SChinaSea,UnmanagedPasture_SChinaSea,84.3333333333333,271.333333333333,11,229.768208307547,50
China,Hainan,UnmanagedPasture_Hainan,231,260.333333333333,11,221.165051401206,50
China,Mekong,UnmanagedPasture_Mekong,102.666666666667,440,10,309.646872161724,50
China,Salween,UnmanagedPasture_Salween,124.666666666667,436.333333333333,10,315.747600423976,50
China,IrrawaddyR,UnmanagedPasture_IrrawaddyR,223.666666666667,616,10,354.176784850017,50
EU-12,BalticSea,UnmanagedPasture_BalticSea,117.333333333333,535.333333333333,10,549.5877906172,50
EU-12,DnkGrmCst,UnmanagedPasture_DnkGrmCst,25.6666666666667,381.333333333333,10,539,50
EU-12,NarvaR,UnmanagedPasture_NarvaR,121,502.333333333333,10,510.209627715381,50
EU-12,DaugavaR,UnmanagedPasture_DaugavaR,110,539,10,572.463341600953,50
EU-12,OderR,UnmanagedPasture_OderR,117.333333333333,348.333333333333,10,306.337735582433,50
EU-12,WislaR,UnmanagedPasture_WislaR,80.6666666666667,381.333333333333,10,345.156215138581,50
EU-12,ElbeR,UnmanagedPasture_ElbeR,128.333333333333,293.333333333333,10,281.551969893546,50
EU-12,PolandCst,UnmanagedPasture_PolandCst,139.333333333333,469.333333333333,10,397.944465627065,50
EU-12,NemanR,UnmanagedPasture_NemanR,80.6666666666667,498.666666666667,10,454.894833866717,50
EU-12,DniesterR,UnmanagedPasture_DniesterR,124.666666666667,352,10,325.743684534812,50
EU-12,DanubeR,UnmanagedPasture_DanubeR,80.6666666666667,260.333333333333,10,274.981556393573,50
EU-12,AdrBlkSea,UnmanagedPasture_AdrBlkSea,84.3333333333333,242,10,250.29650904143,50
EU-12,MeditE,UnmanagedPasture_MeditE,29.3333333333333,176,10,152.957989281004,50
EU-15,ScndnvN,UnmanagedPasture_ScndnvN,69.6666666666667,561,10,513.056570139719,50
EU-15,Sweden,UnmanagedPasture_Sweden,190.666666666667,597.666666666667,10,547.286508609957,50
EU-15,Finland,UnmanagedPasture_Finland,249.333333333333,616,10,609.321510580179,50
EU-15,Scotland,UnmanagedPasture_Scotland,88,792,10,617.971912663098,50
EU-15,NevaR,UnmanagedPasture_NevaR,212.666666666667,498.666666666667,10,552.841220134539,50
EU-15,DnkGrmCst,UnmanagedPasture_DnkGrmCst,128.333333333333,524.333333333333,10,457.414957539346,50
EU-15,Ireland,UnmanagedPasture_Ireland,84.3333333333333,641.666666666667,10,577.390137133924,50
EU-15,EngWales,UnmanagedPasture_EngWales,110,498.666666666667,10,403.005185337713,50
EU-15,EmsWeserR,UnmanagedPasture_EmsWeserR,139.333333333333,502.333333333333,10,428.353960058494,50
EU-15,OderR,UnmanagedPasture_OderR,150.333333333333,410.666666666667,10,341.790909758074,50
