#Buildings Floor Space
building,var1,var2,unit_conv
resid,Building Stock|Residential|Floor Space|Useful,Building Stock|Residential and Commercial|Floor Space|Useful,1
comm,Building Stock|Commercial|Floor Space|Useful,Building Stock|Residential and Commercial|Floor Space|Useful,1
