# Multiple load segments Electricity generation by technology (inc solar roofs),,,,,,,,,,,
output,subsector,technology,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
electricity,refined liquids,refined liquids cogen,Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,refined liquids,refined liquids_base_steam/CT,Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,refined liquids,refined liquids_int_steam/CT,Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,refined liquids,refined liquids_subpeak_steam/CT,Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,refined liquids,refined liquids_base_CC,Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,refined liquids,refined liquids_int_CC,Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,refined liquids,refined liquids_peak_CC,Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,refined liquids,refined liquids_subpeak_CC,Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,,,1
electricity,refined liquids,refined liquids_peak_steam/CT,Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Fossil,,,,,1
electricity,rooftop_pv,rooftop_pv,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|PV,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,solar,PV_base_storage,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|PV,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,solar,PV_int,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|PV,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,solar,PV_peak,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|PV,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,solar,PV_subpeak,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|PV,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,solar,CSP_base_storage,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|CSP,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,solar,CSP_int,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|CSP,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,solar,CSP_peak,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|CSP,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,solar,CSP_subpeak,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|CSP,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,wind,wind_base,Secondary Energy|Electricity,Secondary Energy|Electricity|Wind,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,wind,wind_base_offshore,Secondary Energy|Electricity,Secondary Energy|Electricity|Wind,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,wind,wind_base_storage,Secondary Energy|Electricity,Secondary Energy|Electricity|Wind,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,wind,wind_int,Secondary Energy|Electricity,Secondary Energy|Electricity|Wind,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
electricity,wind,wind_subpeak,Secondary Energy|Electricity,Secondary Energy|Electricity|Wind,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,,1
