# Water XXs by subsector
sector,subsector,var1,var2,var3,var4,unit_conv
biomass,biomassGrass_MurrayDrlg,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_NewZealand,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Tasmania,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AusCstE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AusCstN,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AusCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AusCstW,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MurrayDrlg,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_NewZealand,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Tasmania,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AmazonR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_BrzCstE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_BrzCstN,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_BrzCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ParnaibaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_SaoFrancR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_TocantinsR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AmazonR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_BrzCstE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_BrzCstN,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_BrzCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ParnaibaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_SaoFrancR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_TocantinsR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_CanAtl,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_FraserR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_GreatLakes,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_HudsonBay,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Mackenzie,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MissouriR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_NWTerr,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_NelsonR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_PacArctic,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_StLwrncR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_UsaCstNE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_UsaPacNW,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_CanAtl,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_FraserR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_GreatLakes,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_HudsonBay,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Mackenzie,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MissouriR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_NWTerr,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_NelsonR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_PacArctic,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_StLwrncR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_UsaCstNE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_UsaPacNW,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Caribbean,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_CntAmer,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ColEcuaCst,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_GrijUsuR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_SAmerCstN,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_YucatanP,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Caribbean,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_CntAmer,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ColEcuaCst,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_GrijUsuR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_SAmerCstN,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_YucatanP,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AmuDaryaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AmurR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_BlackSeaS,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_CaspianE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_CaspianNE,Water XX,Water XX|Irrigation,,,1
