# wood fuel - industrial roundwood ratio
# Source: extra_scripts/Derive_WoodFuel_Based_on_Forest_Residue.R
GCAM_region_ID,year,Industrial roundwood,Wood fuel,Ratio_WoodFuel_IndRoundwood,region
1,1973,321111504,35651000,0.111023739591715,USA
1,1974,310268005.333333,35651000,0.114903887565522,USA
1,1975,309490341.333333,35934000,0.116107015957883,USA
1,1976,309632341.333333,37680333.3333333,0.121693790677921,USA
1,1977,329078338.666667,43787333.3333333,0.133060515349468,USA
1,1978,340689005.333333,52981000,0.155511329014457,USA
1,1979,342907008,62505000,0.182279739234726,USA
1,1980,332965344,69999333.3333333,0.210230087289004,USA
1,1981,313054344,82591333.3333333,0.263824268585563,USA
1,1982,315969341.333333,90963666.6666667,0.287887635815603,USA
1,1983,330457680,99704666.6666667,0.301716899624384,USA
1,1984,351328349.333333,98892666.6666667,0.281482171462455,USA
1,1985,370140354.666667,100176333.333333,0.270644181512032,USA
1,1986,387901346.666667,93597000,0.241290732306816,USA
1,1987,406548341.333333,88377333.3333333,0.217384562543011,USA
1,1988,414756333.333333,81930333.3333333,0.197538474397417,USA
1,1989,419209000,81656666.6666667,0.194787484683455,USA
1,1990,410800000,88594000,0.215662122687439,USA
1,1991,406200000,88594000,0.218104382077794,USA
1,1992,397639997.333333,84289666.6666667,0.21197481951497,USA
1,1993,405133666.666667,70745000,0.17462138010418,USA
1,1994,407083000,64138000,0.157555093187384,USA
1,1995,408774669.333333,59230000,0.144896453825276,USA
1,1996,410545002.666667,54501000,0.132752803337009,USA
1,1997,415408002.666667,49611333.3333333,0.119427967239097,USA
1,1998,420975669.333333,46789000,0.111144190527914,USA
1,1999,422484666.666667,46052666.6666667,0.109004350453744,USA
1,2000,415709666.666667,45949000,0.110531468677258,USA
1,2001,409596333.333333,44958000,0.109761724755023,USA
1,2002,404594333.333333,43948085,0.108622591517594,USA
1,2003,409567333.333333,43183478.3333333,0.10543682276093,USA
1,2004,415733333.333333,43466595,0.104554029025016,USA
1,2005,417907000,44137843.3333333,0.105616425025983,USA
1,2006,404787000,45054370,0.111303895629059,USA
1,2007,375933333.333333,44961868,0.119600641957794,USA
1,2008,335919000,43469426.6666667,0.129404489375911,USA
1,2009,321707000,41495732,0.128986102260753,USA
1,2010,327643333.333333,40436676,0.123416751955887,USA
1,2011,345971666.666667,40436450.6666667,0.116877925456323,USA
1,2012,352239000,40917839.6666667,0.116164989301771,USA
1,2013,352941636,41399228.6666667,0.117297661834,USA
1,2014,355475773.333333,42702228.6666667,0.12012697311618,USA
1,2015,361988773.333333,49460614.3333333,0.136635768777802,USA
1,2016,368523263.333333,56957000,0.154554693467158,USA
1,2017,381133656.666667,66044854,0.173285284164137,USA
1,2018,385542306,69135164.3333333,0.179319268618301,USA
1,2019,383128734.333333,67853617.6666667,0.177103964245167,USA
1,2020,379765386.333333,67687610.3333333,0.178235333627593,USA
1,2021,378045968.666667,69288633.3333333,0.183280973945333,USA
1,2022,382481621.5,73670270,0.192611267728586,USA
2,1973,5181350,106401065,20.5353942505332,Africa_Eastern
2,1974,5265833.33333333,107568647.333333,20.4276589333755,Africa_Eastern
2,1975,5322933.33333333,109908321.333333,20.6480739942889,Africa_Eastern
2,1976,5704066.66666667,112255990.666667,19.6799927537079,Africa_Eastern
2,1977,6083366.66666667,115123752.666667,18.9243487980888,Africa_Eastern
2,1978,6554400,118157293,18.0271715183693,Africa_Eastern
2,1979,6810366.66666667,121475470.333333,17.8368473063124,Africa_Eastern
2,1980,6919800,124464084.666667,17.9866592483405,Africa_Eastern
2,1981,7031933.33333333,127357064.666667,18.1112446079314,Africa_Eastern
2,1982,7190600,130033625.666667,18.0838352385985,Africa_Eastern
2,1983,7421100,133554680,17.996615057067,Africa_Eastern
2,1984,7732000,137994839.333333,17.8472373685118,Africa_Eastern
2,1985,8040333.33333333,142333780,17.7024725343062,Africa_Eastern
2,1986,8318080,145437141,17.4844604764561,Africa_Eastern
2,1987,8424610,148001981.333333,17.5678139799152,Africa_Eastern
