#Resource extraction
resource,var1,var2,unit_conv
FlyR_water consumption,NoReported,,1
FlyR_water withdrawals,NoReported,,1
FranceCstS_water consumption,NoReported,,1
FranceCstS_water withdrawals,NoReported,,1
FranceCstW_water consumption,NoReported,,1
FranceCstW_water withdrawals,NoReported,,1
FraserR_water consumption,NoReported,,1
FraserR_water withdrawals,NoReported,,1
GangesR_water consumption,NoReported,,1
GangesR_water withdrawals,NoReported,,1
geothermal,NoReported,,1
Gironde_water consumption,NoReported,,1
Gironde_water withdrawals,NoReported,,1
global solar resource,NoReported,,1
Gobi_water consumption,NoReported,,1
Gobi_water withdrawals,NoReported,,1
GodavariR_water consumption,NoReported,,1
GodavariR_water withdrawals,NoReported,,1
GreatBasin_water consumption,NoReported,,1
GreatBasin_water withdrawals,NoReported,,1
GreatLakes_water consumption,NoReported,,1
GreatLakes_water withdrawals,NoReported,,1
GrijUsuR_water consumption,NoReported,,1
GrijUsuR_water withdrawals,NoReported,,1
GuadalqR_water consumption,NoReported,,1
GuadalqR_water withdrawals,NoReported,,1
GuadianaR_water consumption,NoReported,,1
GuadianaR_water withdrawals,NoReported,,1
GuineaGulf_water consumption,NoReported,,1
GuineaGulf_water withdrawals,NoReported,,1
Hainan_water consumption,NoReported,,1
Hainan_water withdrawals,NoReported,,1
HamuMashR_water consumption,NoReported,,1
HamuMashR_water withdrawals,NoReported,,1
Hawaii_water consumption,NoReported,,1
Hawaii_water withdrawals,NoReported,,1
Helmand_water consumption,NoReported,,1
Helmand_water withdrawals,NoReported,,1
Hong_water consumption,NoReported,,1
Hong_water withdrawals,NoReported,,1
HuangHeR_water consumption,NoReported,,1
HuangHeR_water withdrawals,NoReported,,1
HudsonBay_water consumption,NoReported,,1
HudsonBay_water withdrawals,NoReported,,1
IberiaCst_water consumption,NoReported,,1
IberiaCst_water withdrawals,NoReported,,1
Iceland_water consumption,NoReported,,1
Iceland_water withdrawals,NoReported,,1
IdnE_water consumption,NoReported,,1
IdnE_water withdrawals,NoReported,,1
IndCstE_water consumption,NoReported,,1
IndCstE_water withdrawals,NoReported,,1
IndCstNE_water consumption,NoReported,,1
IndCstNE_water withdrawals,NoReported,,1
IndCstS_water consumption,NoReported,,1
IndCstS_water withdrawals,NoReported,,1
IndCstW_water consumption,NoReported,,1
IndCstW_water withdrawals,NoReported,,1
IndusR_water consumption,NoReported,,1
IndusR_water withdrawals,NoReported,,1
inorganic-surface-storage,NoReported,,1
Iran_water consumption,NoReported,,1
Iran_water withdrawals,NoReported,,1
Ireland_water consumption,NoReported,,1
Ireland_water withdrawals,NoReported,,1
IrianJaya_water consumption,NoReported,,1
IrianJaya_water withdrawals,NoReported,,1
IrrawaddyR_water consumption,NoReported,,1
IrrawaddyR_water withdrawals,NoReported,,1
ItalyCstE_water consumption,NoReported,,1
ItalyCstE_water withdrawals,NoReported,,1
ItalyCstW_water consumption,NoReported,,1
ItalyCstW_water withdrawals,NoReported,,1
Japan_water consumption,NoReported,,1
Japan_water withdrawals,NoReported,,1
JavaTimor_water consumption,NoReported,,1
JavaTimor_water withdrawals,NoReported,,1
Kalimantan_water consumption,NoReported,,1
Kalimantan_water withdrawals,NoReported,,1
KaraSea_water consumption,NoReported,,1
KaraSea_water withdrawals,NoReported,,1
Korea_water consumption,NoReported,,1
Korea_water withdrawals,NoReported,,1
KrishnaR_water consumption,NoReported,,1
KrishnaR_water withdrawals,NoReported,,1
LaPuna_water consumption,NoReported,,1
LaPuna_water withdrawals,NoReported,,1
LBalkash_water consumption,NoReported,,1
LBalkash_water withdrawals,NoReported,,1
LChad_water consumption,NoReported,,1
LChad_water withdrawals,NoReported,,1
LenaR_water consumption,NoReported,,1
LenaR_water withdrawals,NoReported,,1
limestone,NoReported,,1
LimpopoR_water consumption,NoReported,,1
LimpopoR_water withdrawals,NoReported,,1
LoireR_water consumption,NoReported,,1
LoireR_water withdrawals,NoReported,,1
Mackenzie_water consumption,NoReported,,1
Mackenzie_water withdrawals,NoReported,,1
Madagascar_water consumption,NoReported,,1
Madagascar_water withdrawals,NoReported,,1
MagdalenaR_water consumption,NoReported,,1
MagdalenaR_water withdrawals,NoReported,,1
MahanadiR_water consumption,NoReported,,1
MahanadiR_water withdrawals,NoReported,,1
MahiR_water consumption,NoReported,,1
MahiR_water withdrawals,NoReported,,1
MalaysiaP_water consumption,NoReported,,1
MalaysiaP_water withdrawals,NoReported,,1
MarChiq_water consumption,NoReported,,1
MarChiq_water withdrawals,NoReported,,1
MeditE_water consumption,NoReported,,1
MeditE_water withdrawals,NoReported,,1
MeditIsl_water consumption,NoReported,,1
MeditIsl_water withdrawals,NoReported,,1
MeditS_water consumption,NoReported,,1
MeditS_water withdrawals,NoReported,,1
Mekong_water consumption,NoReported,,1
Mekong_water withdrawals,NoReported,,1
MexBaja_water consumption,NoReported,,1
MexBaja_water withdrawals,NoReported,,1
MexCstNW_water consumption,NoReported,,1
MexCstNW_water withdrawals,NoReported,,1
MexCstW_water consumption,NoReported,,1
MexCstW_water withdrawals,NoReported,,1
