# map to pair energy consumption and en_prices to compute the parent categories and World en_prices weighted by energy consumption
en_price_var,en_consumption_var
Price|Final Energy|Transportation (w/ bunkers)|Electricity,Final Energy|Transportation (w/ bunkers)|Electricity
Price|Final Energy|Transportation (w/ bunkers)|Hydrogen,Final Energy|Transportation (w/ bunkers)|Hydrogen
Price|Final Energy|Transportation (w/ bunkers)|Liquids,Final Energy|Transportation (w/ bunkers)|Liquids
Price|Final Energy|Transportation|Bus|Electricity,Final Energy|Transportation|Bus|Electricity
Price|Final Energy|Transportation|Bus|Gases,Final Energy|Transportation|Bus|Gases
Price|Final Energy|Transportation|Bus|Hydrogen,Final Energy|Transportation|Bus|Hydrogen
Price|Final Energy|Transportation|Bus|Liquids,Final Energy|Transportation|Bus|Liquids
Price|Final Energy|Transportation|Domestic Aviation|Electricity,Final Energy|Transportation|Domestic Aviation|Electricity
Price|Final Energy|Transportation|Domestic Aviation|Hydrogen,Final Energy|Transportation|Domestic Aviation|Hydrogen
Price|Final Energy|Transportation|Domestic Aviation|Liquids,Final Energy|Transportation|Domestic Aviation|Liquids
Price|Final Energy|Transportation|Domestic Shipping|Electricity,Final Energy|Transportation|Domestic Shipping|Electricity
Price|Final Energy|Transportation|Domestic Shipping|Hydrogen,Final Energy|Transportation|Domestic Shipping|Hydrogen
Price|Final Energy|Transportation|Domestic Shipping|Liquids,Final Energy|Transportation|Domestic Shipping|Liquids
Price|Final Energy|Transportation|Electricity,Final Energy|Transportation|Electricity
Price|Final Energy|Transportation|Freight|Electricity,Final Energy|Transportation|Freight|Electricity
Price|Final Energy|Transportation|Freight|Hydrogen,Final Energy|Transportation|Freight|Hydrogen
Price|Final Energy|Transportation|Freight|Liquids,Final Energy|Transportation|Freight|Liquids
Price|Final Energy|Transportation|Gases,Final Energy|Transportation|Gases
Price|Final Energy|Transportation|Hydrogen,Final Energy|Transportation|Hydrogen
Price|Final Energy|Transportation|Light-Duty Vehicle|Electricity,Final Energy|Transportation|Light-Duty Vehicle|Electricity
Price|Final Energy|Transportation|Light-Duty Vehicle|Gases,Final Energy|Transportation|Light-Duty Vehicle|Gases
Price|Final Energy|Transportation|Light-Duty Vehicle|Hydrogen,Final Energy|Transportation|Light-Duty Vehicle|Hydrogen
Price|Final Energy|Transportation|Light-Duty Vehicle|Liquids,Final Energy|Transportation|Light-Duty Vehicle|Liquids
Price|Final Energy|Transportation|Liquids,Final Energy|Transportation|Liquids
Price|Final Energy|Transportation|Passenger|Electricity,Final Energy|Transportation|Passenger|Electricity
